Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Australia,AUS,"Annualized growth in survey mean consumption or income per capita, bottom 40% (%, based on 2005 PPP)",SI.SPR.PC40.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Annualized growth in survey mean consumption or income per capita, total population (%, based on 2005 PPP)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,0.673472232,0.660690057,0.688836965,0.678690061,0.656323566,0.639942814,0.659363403,0.642746185,0.639986916,0.571914249,0.557473956,0.539074638,0.544785494,0.536998996,0.518955395,0.522854528,0.519645095,0.508893531,0.504276425,0.505175593,0.46784651,..,..,..
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,287331.452,281530.258,294456.433,302116.796,303957.63,307433.946,329259.93,333623.66,346912.868,325523.257,329604.628,324859.53,341001.664,346476.495,348757.369,362684.635,371214.077,377235.291,387634.903,395093.581,373080.58,..,..,..
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,31.12874765,29.59149101,27.43642656,25.28778629,24.63554322,22.58855649,22.53322301,21.63795787,20.25343224,18.27058294,23.99817488,29.25069353,30.58134397,40.544912,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,8527.228085,8522.159222,8550.328665,8701.760344,8812.489499,8994.35591,9108.29556,9291.083869,9783.442895,10036.45778,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.43623,10972.84373,10749.06349,10791.547,10740.38435,10712.17547,..,..
Australia,AUS,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,5.599999905,5.5,5.300000191,5.300000191,5.099999905,5,5,5.099999905,4.900000095,5,5,4.800000191,4.400000095,3.900000095,3.700000048,3.599999905,3.400000095,3.299999952,3.299999952,3.299999952,..,..,..,..
Australia,AUS,Employment in industry (% of total employment),SL.IND.EMPL.ZS,25.10000038,23.79999924,23.60000038,23.60000038,23.39999962,22.79999924,22.39999962,22.10000038,21.79999924,21.29999924,21.70000076,21,21.10000038,21.10000038,21.39999962,21.29999924,21.39999962,21.29999924,21.60000038,21.10000038,..,..,..,..
Australia,AUS,Employment in services (% of total employment),SL.SRV.EMPL.ZS,69.30000305,70.69999695,71.09999847,71.09999847,71.30000305,72.19999695,72.5,72.69999695,73.30000305,73.69999695,73.30000305,74.19999695,74.5,75,74.90000153,75.09999847,75.09999847,75.30000305,75.09999847,75.5,..,..,..,..
Australia,AUS,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-82.68587603,-96.12327798,-98.46452879,-91.86370605,-90.07336776,-101.9226952,-91.77465522,-98.4549196,-108.2852589,-101.0893786,-116.0324714,-135.6263675,-132.1058804,-127.7820014,-125.5547272,-133.6152422,-131.7645011,-138.0616496,-130.5850329,-137.954522,-151.8714128,-141.4610864,-135.4059721,..
Australia,AUS,GDP (constant 2005 US$),NY.GDP.MKTP.KD,4.26642E+11,4.26115E+11,4.27469E+11,4.45147E+11,4.63122E+11,4.80408E+11,4.9936E+11,5.1906E+11,5.42062E+11,5.69182E+11,5.91247E+11,6.02624E+11,6.25937E+11,6.45209E+11,6.72037E+11,6.93663E+11,7.14361E+11,7.41285E+11,7.68695E+11,7.82092E+11,7.97442E+11,8.15299E+11,8.44771E+11,8.67243E+11
Australia,AUS,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,25000.84202,24653.75352,24433.7798,25196.52056,25937.92302,26583.02714,27271.05757,28031.52389,28970.25484,30074.07439,30869.6645,31042.31183,31852.05577,32430.05074,33389.17465,34011.73864,34513.68414,35591.48894,36175.25701,36054.87749,36195.05734,36495.04387,37175.44341,37492.8514
